,questionType,asin,question,answerType,answer
1551,open-ended,B000HLV59W,works with vista? Does any know if this works with Vista?,,"I know EXACTLY where you are coming from. I was so worried about the same thing. My new computer has Vista. I tried running my old 3.0 version on it and it crashed my whole system. After I got my computer up and running again, I called Adobe 3 times asking about the 5.0. I was worried that my it would crash my system again before I could download the patch, and the cost of the new program would be a waste. They kept saying it would be ok. Well, I held my breath and tried it a few days ago. And it is up and running fine. Isn't the new Vista such a pain in the butt??"
1552,open-ended,B000HLV59W,Photoshop 5: Must one delete PS 2 and/or Photoshop 3 before installing Photoshop 5?,,No. Absolutely not. The apps can co-exist peacefully and even run at the same time. (BTW: I assume you are talking about PSE 2 and/or three not PS - unless you are still running PS versions from the early nineties)
1553,open-ended,B000HLV59W,Photoshop 5 or 6 What's the difference? What does PS6 have that 5 doesn't have?,,"quick answer, nothing. lol. As far as I can tell the only real difference between 5 vs 6 & 7 is the color. I used the trial verstion of 7.0 and I'm sticking with my 5.0 until they make a version with something new."
1554,yes/no,B000HLV59W,Will Photoshop Elements 5 work on Windows 7?,?,Hi Kenneth; I recently upgraded (new computer) from Windows XP to Windows 7 Home Premium and Photoshop Elements 5 works just fine.
1555,yes/no,B000HLV59W,"Old picture repair: Have cracked, spots on old family photos, will this program work?",?,Can this progam be used on vista or windows seven?
1556,open-ended,B000HLV59W,Elements or Paint Shop??? Does anyone have an opinion on which program is better?,,"I have Elements 5 and Paintshop Pro 8 (and 7). All are very good, but the emphasis is different. I use Elements for processing my DSLR photos using the included Adobe Camera Raw. It is reasonably easy to use and the quality of the results is excellent. I use the PTlens plugin to correct for lens defects and Elements works well with this. I very occasionally like to use a feature that Adobe has left out in order to avoid competing with full Photoshop. Examples include Curves adjustment layers and fully automated batch editing. In this case I switch to Paintshop Pro, which invariably does have the missing feature. If you don't know why you would need these features, you probably don't! I don't use the built in Organiser, because I started using Picassa (free from Google) for this purpose and I see no reason to change. For design work, such as web design, I would personally choose to use Paintshop Pro, because its feature set is more complete, (Paintshop Pro 8 is roughly equivalent to Photoshop version 6), and because those advanced features are more easily accessible. Other people that I know would choose to use full Photoshop instead, and I can understand their point of view. Photoshop Elements needs quite a powerfull (i.e. new) computer, if it is not to seem slow. I understand that this is also true for the latest Paint Shop Pro. Finally, you can download both of these products for a free month's trial, so why not try then out and make your mind up after that?"
1557,open-ended,B000HLV59W,Layers and Brushes: Can Elements do all these things?,,"In Elements, you will still be able to use all the features you mentions. What elements is lacking is stuff you or I would probably never use, like support from RAW formated photos and vector graphix, or a feature called image warp. CS2 is more for the proffesional user so most likely theres not much of anything you will miss by switching to elements."
1558,open-ended,B000HLV59W,Is this the product I need?? Do I really need to upgrade to Elements?,,"No, I would think not. Try instead the excellent freeware Picasa from google."
1559,open-ended,B000HLV59W,slides to CD's: Can I use this software and a scanner to transfer slides to CD's?,,I can't answer that question but I can tell you that I had lots of slides and I shipped them off to scancafe.com and they scanned them and put them on a cd for .24 a slide (you get to pick which ones you want as long as you choose 50% or more).
1560,open-ended,B000HLV59W,"Photoshop Album Starter automatic download: Does PSE5 automatically download Photoshop Album Starter Edition, or is it replaced by the organizer which I saw in a review?",,You can access the photo's without using the organizer.
1561,open-ended,B000HRZ8QC,"""Nuance-certified handheld device"" -- What are they? Anyone knows where I can find a list of such?",,Go to this page for that information: http://recorders.com/info/articles/27/1/Digital-Recorder-Compatibility-Report-for-Dragon-NaturallySpeaking/Page1.html
1562,yes/no,B000HRZ8QC,Will it work with multiple voices?,?,"It will take digital or analog input. These require ""training"" as seperate as any human voice, even it is your own..."
1563,open-ended,B000HRZ8QC,95 yr. old friend recording life history--any suggestions in using this software? Does anyone have suggestions for how to proceed?,,"Great idea! I did an interview with my late grandfather for a high school history project nearly 20 years ago and though it seemed a daunting assignment at the time, I'm very glad I did so. The cassette tape is the only recording any of us have of him, and I've found it enjoyable to listen to every few years. His story was WWII-centric, as he was a recon pilot and I was aiming for a more historically based interview. I think I had prepared about 10 questions beforehand which gave us a general direction. Of course if he wanted to go a bit off topic, who was I to say no? My advise is to bring over a couple sandwiches, a list of questions both broad and specific and just record whatever happens. Since you have the benefit of much higher technology than I did, you have the freedom to edit out dead air or (dare I say) mindless ramblings. :) Since you say she's sharp that probably won't be a problem though. Many people are a bit wary or self conscious of discussing their life with a tape recorder- start with more lighter fare before attempting to delve into more personal matters. You may want to ask them beforehand if any topics might be verbotten to them. She's not a part of the MySpace generation, understand that many things may be her business and her business alone. You most likely understand her personality and shouldn't have a problem knowing when to press for more information and when to leave a subject that might be uncomfortable for her. I'm sure there are a number of books out there on interviewing skills, but you're talking with a friend not a head of state- have a genuine talk and just see what happens. Sorry if I rambled.."
